Title,Sex,Age,AgeGroup,Fare,FareBand,Pclass,SibSp,Parch,Survived,Embarked_C,Embarked_Q,Embarked_S,FamilySize
Mr,0,28.0,YoungAdult,8.05,Mid,Lower,0,0,0,False,False,True,1
Mr,0,28.0,YoungAdult,15.5,High,Lower,1,0,0,False,True,False,2
Miss,1,28.0,YoungAdult,7.75,Low,Lower,0,0,1,False,True,False,1
Mr,0,28.0,YoungAdult,21.6792,High,Lower,2,0,0,True,False,False,3
Mrs,1,18.0,Teen,17.8,High,Lower,1,0,0,False,False,True,2
Master,0,7.0,Child,39.6875,Very High,Lower,4,1,0,False,False,True,6
Mr,0,21.0,YoungAdult,7.8,Low,Lower,0,0,0,False,False,True,1
Mrs,1,49.0,Adult,76.7292,Very High,Upper,1,0,1,True,False,False,2
Mrs,1,29.0,YoungAdult,26.0,High,Middle,1,0,1,False,False,True,2
Mr,0,65.0,Senior,61.9792,Very High,Upper,0,1,0,True,False,False,2
Mr,0,28.0,YoungAdult,35.5,Very High,Upper,0,0,1,False,False,True,1
Miss,1,21.0,YoungAdult,10.5,Mid,Middle,0,0,1,False,False,True,1
Mr,0,28.5,YoungAdult,7.2292,Low,Lower,0,0,0,True,False,False,1
Miss,1,5.0,Child,27.75,High,Middle,1,2,1,False,False,True,4
Master,0,11.0,Child,46.9,Very High,Lower,5,2,0,False,False,True,8
Mr,0,22.0,YoungAdult,7.2292,Low,Lower,0,0,0,True,False,False,1
Mr,0,45.0,Adult,83.475,Very High,Upper,1,0,0,False,False,True,2
Master,0,4.0,Child,27.9,High,Lower,3,2,0,False,False,True,6
Mr,0,28.0,YoungAdult,27.7208,High,Upper,0,0,0,True,False,False,1
Master,0,28.0,YoungAdult,15.2458,High,Lower,1,1,1,True,False,False,3
Mrs,1,29.0,YoungAdult,10.5,Mid,Middle,0,0,1,False,False,True,1
Mr,0,19.0,YoungAdult,8.1583,Mid,Lower,0,0,0,False,False,True,1
Miss,1,17.0,Teen,7.925,Mid,Lower,4,2,1,False,False,True,7
Mr,0,26.0,YoungAdult,8.6625,Mid,Lower,2,0,0,False,False,True,3
Mr,0,32.0,YoungAdult,10.5,Mid,Middle,0,0,0,False,False,True,1
Miss,1,16.0,Teen,46.9,Very High,Lower,5,2,0,False,False,True,8
Mr,0,21.0,YoungAdult,73.5,Very High,Middle,0,0,0,False,False,True,1
Mr,0,26.0,YoungAdult,14.4542,Mid,Lower,1,0,0,True,False,False,2
Mr,0,32.0,YoungAdult,56.4958,Very High,Lower,0,0,1,False,False,True,1
Mr,0,25.0,YoungAdult,7.65,Low,Lower,0,0,0,False,False,True,1
Mr,0,28.0,YoungAdult,7.8958,Low,Lower,0,0,0,False,False,True,1
Mr,0,28.0,YoungAdult,8.05,Mid,Lower,0,0,0,False,False,True,1
Master,0,0.83,Child,29.0,High,Middle,0,2,1,False,False,True,3
Miss,1,30.0,YoungAdult,12.475,Mid,Lower,0,0,1,False,False,True,1
Mr,0,22.0,YoungAdult,9.0,Mid,Lower,0,0,0,False,False,True,1
Mr,0,29.0,YoungAdult,9.5,Mid,Lower,0,0,1,False,False,True,1
Miss,1,28.0,YoungAdult,7.7875,Low,Lower,0,0,1,False,True,False,1
Mr,0,28.0,YoungAdult,47.1,Very High,Upper,0,0,0,False,False,True,1
Miss,1,17.0,Teen,10.5,Mid,Middle,0,0,1,False,False,True,1
Mrs,1,33.0,YoungAdult,15.85,High,Lower,3,0,1,False,False,True,4
Mr,0,16.0,Teen,34.375,Very High,Lower,1,3,0,False,False,True,5
Mr,0,28.0,YoungAdult,8.05,Mid,Lower,0,0,0,False,False,True,1
Miss,1,23.0,YoungAdult,263.0,Very High,Upper,3,2,1,False,False,True,6
Mr,0,24.0,YoungAdult,8.05,Mid,Lower,0,0,0,False,False,True,1
Mr,0,29.0,YoungAdult,8.05,Mid,Lower,0,0,0,False,False,True,1
Mr,0,20.0,YoungAdult,7.8542,Low,Lower,0,0,0,False,False,True,1
Mr,0,46.0,Adult,61.175,Very High,Upper,1,0,0,False,False,True,2
Mr,0,26.0,YoungAdult,20.575,High,Lower,1,2,0,False,False,True,4
Mr,0,59.0,Adult,7.25,Low,Lower,0,0,0,False,False,True,1
Mr,0,28.0,YoungAdult,8.05,Mid,Lower,0,0,0,False,False,True,1
Mr,0,71.0,Senior,34.6542,Very High,Upper,0,0,0,True,False,False,1
Mr,0,23.0,YoungAdult,63.3583,Very High,Upper,0,1,1,True,False,False,2
Mrs,1,34.0,YoungAdult,23.0,High,Middle,0,1,1,False,False,True,2
Mr,0,34.0,YoungAdult,26.0,High,Middle,1,0,0,False,False,True,2
Miss,1,28.0,YoungAdult,7.8958,Low,Lower,0,0,0,False,False,True,1
Mr,0,28.0,YoungAdult,7.8958,Low,Lower,0,0,0,False,False,True,1
Mr,0,21.0,YoungAdult,77.2875,Very High,Upper,0,1,0,False,False,True,2
Mr,0,33.0,YoungAdult,8.6542,Mid,Lower,0,0,0,False,False,True,1
Mr,0,37.0,Adult,7.925,Mid,Lower,2,0,0,False,False,True,3
Mr,0,28.0,YoungAdult,7.8958,Low,Lower,0,0,0,False,False,True,1
Miss,1,21.0,YoungAdult,7.65,Low,Lower,0,0,1,False,False,True,1
Mr,0,28.0,YoungAdult,7.775,Low,Lower,0,0,1,False,False,True,1
Mr,0,38.0,Adult,7.8958,Low,Lower,0,0,0,False,False,True,1
Miss,1,28.0,YoungAdult,24.15,High,Lower,1,0,1,False,True,False,2
Mr,0,47.0,Adult,52.0,Very High,Upper,0,0,0,False,False,True,1
Miss,1,14.5,Teen,14.4542,Mid,Lower,1,0,0,True,False,False,2
Mr,0,22.0,YoungAdult,8.05,Mid,Lower,0,0,0,False,False,True,1
Miss,1,20.0,YoungAdult,9.825,Mid,Lower,1,0,0,False,False,True,2
Miss,1,17.0,Teen,14.4583,High,Lower,0,0,0,True,False,False,1
Mr,0,21.0,YoungAdult,7.925,Mid,Lower,0,0,0,False,False,True,1
Mr,0,70.5,Senior,7.75,Low,Lower,0,0,0,False,True,False,1
Mr,0,29.0,YoungAdult,21.0,High,Middle,1,0,0,False,False,True,2
Mr,0,24.0,YoungAdult,247.5208,Very High,Upper,0,1,0,True,False,False,2
Miss,1,2.0,Child,31.275,Very High,Lower,4,2,0,False,False,True,7
Mr,0,21.0,YoungAdult,73.5,Very High,Middle,2,0,0,False,False,True,3
Mr,0,28.0,YoungAdult,8.05,Mid,Lower,0,0,0,False,False,True,1
Mr,0,32.5,YoungAdult,30.0708,High,Middle,1,0,0,True,False,False,2
Miss,1,32.5,YoungAdult,13.0,Mid,Middle,0,0,1,False,False,True,1
Mr,0,54.0,Adult,77.2875,Very High,Upper,0,1,0,False,False,True,2
Master,0,12.0,Child,11.2417,Mid,Lower,1,0,1,True,False,False,2
Mr,0,28.0,YoungAdult,7.75,Low,Lower,0,0,0,False,True,False,1
Mr,0,24.0,YoungAdult,7.1417,Low,Lower,0,0,1,False,False,True,1
Miss,1,28.0,YoungAdult,22.3583,High,Lower,1,1,1,True,False,False,3
Mr,0,45.0,Adult,6.975,Low,Lower,0,0,0,False,False,True,1
Mr,0,33.0,YoungAdult,7.8958,Low,Lower,0,0,0,True,False,False,1
Mr,0,20.0,YoungAdult,7.05,Low,Lower,0,0,0,False,False,True,1
Mrs,1,47.0,Adult,14.5,High,Lower,1,0,0,False,False,True,2
Mrs,1,29.0,YoungAdult,26.0,High,Middle,1,0,1,False,False,True,2
Mr,0,25.0,YoungAdult,13.0,Mid,Middle,0,0,0,False,False,True,1
Mr,0,23.0,YoungAdult,15.0458,High,Middle,0,0,0,True,False,False,1
Miss,1,19.0,YoungAdult,26.2833,High,Upper,0,2,1,False,False,True,3
Mr,0,37.0,Adult,53.1,Very High,Upper,1,0,0,False,False,True,2
Mr,0,16.0,Teen,9.2167,Mid,Lower,0,0,0,False,False,True,1
Mr,0,24.0,YoungAdult,79.2,Very High,Upper,0,0,0,True,False,False,1
Mrs,1,28.0,YoungAdult,15.2458,High,Lower,0,2,0,True,False,False,3
Miss,1,22.0,YoungAdult,7.75,Low,Lower,0,0,1,False,False,True,1
Mrs,1,24.0,YoungAdult,15.85,High,Lower,1,0,1,False,False,True,2
Mr,0,19.0,YoungAdult,6.75,Low,Lower,0,0,0,False,True,False,1
Mr,0,18.0,Teen,11.5,Mid,Middle,0,0,0,False,False,True,1
Mr,0,19.0,YoungAdult,36.75,Very High,Middle,1,1,0,False,False,True,3
Mr,0,27.0,YoungAdult,7.7958,Low,Lower,0,0,1,False,False,True,1
Miss,1,9.0,Child,34.375,Very High,Lower,2,2,0,False,False,True,5
Mr,0,36.5,Adult,26.0,High,Middle,0,2,0,False,False,True,3
Rare,0,42.0,Adult,13.0,Mid,Middle,0,0,0,False,False,True,1
Rare,0,51.0,Adult,12.525,Mid,Middle,0,0,0,False,False,True,1
Mrs,1,22.0,YoungAdult,66.6,Very High,Upper,1,0,1,False,False,True,2
Mr,0,55.5,Adult,8.05,Mid,Lower,0,0,0,False,False,True,1
Mr,0,40.5,Adult,14.5,High,Lower,0,2,0,False,False,True,3
Mr,0,28.0,YoungAdult,7.3125,Low,Lower,0,0,0,False,False,True,1
Mr,0,51.0,Adult,61.3792,Very High,Upper,0,1,0,True,False,False,2
Miss,1,16.0,Teen,7.7333,Low,Lower,0,0,1,False,True,False,1
Mr,0,30.0,YoungAdult,8.05,Mid,Lower,0,0,0,False,False,True,1
Mr,0,28.0,YoungAdult,8.6625,Mid,Lower,0,0,0,False,False,True,1
Master,0,28.0,YoungAdult,69.55,Very High,Lower,8,2,0,False,False,True,11
Mr,0,44.0,Adult,16.1,High,Lower,0,1,0,False,False,True,2
Mrs,1,40.0,Adult,15.75,High,Middle,0,0,1,False,False,True,1
Mr,0,26.0,YoungAdult,7.775,Low,Lower,0,0,0,False,False,True,1
Mr,0,17.0,Teen,8.6625,Mid,Lower,0,0,0,False,False,True,1
Master,0,1.0,Child,39.6875,Very High,Lower,4,1,0,False,False,True,6
Master,0,9.0,Child,20.525,High,Lower,0,2,1,False,False,True,3
Mrs,1,28.0,YoungAdult,55.0,Very High,Upper,0,1,1,False,False,True,2
Mrs,1,45.0,Adult,27.9,High,Lower,1,4,0,False,False,True,6
Mr,0,28.0,YoungAdult,25.925,High,Upper,0,0,0,False,False,True,1
Mr,0,28.0,YoungAdult,56.4958,Very High,Lower,0,0,0,False,False,True,1
Mr,0,61.0,Senior,33.5,Very High,Upper,0,0,0,False,False,True,1
Master,0,4.0,Child,29.125,High,Lower,4,1,0,False,True,False,6
Miss,1,1.0,Child,11.1333,Mid,Lower,1,1,1,False,False,True,3
Mr,0,21.0,YoungAdult,7.925,Mid,Lower,0,0,0,False,False,True,1
Mr,0,56.0,Adult,30.6958,High,Upper,0,0,0,True,False,False,1
Mr,0,18.0,Teen,7.8542,Low,Lower,1,1,0,False,False,True,3
Master,0,28.0,YoungAdult,25.4667,High,Lower,3,1,0,False,False,True,5
Miss,1,50.0,Adult,28.7125,High,Upper,0,0,0,True,False,False,1
Mr,0,30.0,YoungAdult,13.0,Mid,Middle,0,0,0,False,False,True,1
Mr,0,36.0,Adult,0.0,Low,Lower,0,0,0,False,False,True,1
Miss,1,28.0,YoungAdult,69.55,Very High,Lower,8,2,0,False,False,True,11
Mr,0,28.0,YoungAdult,15.05,High,Middle,0,0,0,True,False,False,1
Master,0,9.0,Child,31.3875,Very High,Lower,4,2,0,False,False,True,7
Master,0,1.0,Child,39.0,Very High,Middle,2,1,1,False,False,True,4
Miss,1,4.0,Child,22.025,High,Lower,0,2,1,False,False,True,3
Mr,0,28.0,YoungAdult,50.0,Very High,Upper,0,0,0,False,False,True,1
Mrs,1,28.0,YoungAdult,15.5,High,Lower,1,0,1,False,True,False,2
Mr,0,45.0,Adult,26.55,High,Upper,0,0,1,False,False,True,1
Mr,0,40.0,Adult,15.5,High,Lower,1,1,0,False,True,False,3
Mr,0,36.0,Adult,7.8958,Low,Lower,0,0,0,False,False,True,1
Mrs,1,32.0,YoungAdult,13.0,Mid,Middle,0,0,1,False,False,True,1
Mr,0,19.0,YoungAdult,13.0,Mid,Middle,0,0,0,False,False,True,1
Miss,1,19.0,YoungAdult,7.8542,Low,Lower,1,0,1,False,False,True,2
Master,0,3.0,Child,26.0,High,Middle,1,1,1,False,False,True,3
Mrs,1,44.0,Adult,27.7208,High,Upper,0,0,1,True,False,False,1
Miss,1,58.0,Adult,146.5208,Very High,Upper,0,0,1,True,False,False,1
Mr,0,28.0,YoungAdult,7.75,Low,Lower,0,0,0,False,True,False,1
Mr,0,42.0,Adult,8.4042,Mid,Lower,0,1,0,False,False,True,2
Miss,1,28.0,YoungAdult,7.75,Low,Lower,0,0,1,False,True,False,1
Miss,1,24.0,YoungAdult,13.0,Mid,Middle,0,0,0,False,False,True,1
Mr,0,28.0,YoungAdult,9.5,Mid,Lower,0,0,0,False,False,True,1
Mr,0,28.0,YoungAdult,69.55,Very High,Lower,8,2,0,False,False,True,11
Mr,0,34.0,YoungAdult,6.4958,Low,Lower,0,0,0,False,False,True,1
Mr,0,45.5,Adult,7.225,Low,Lower,0,0,0,True,False,False,1
Mr,0,18.0,Teen,8.05,Mid,Lower,0,0,1,False,False,True,1
Miss,1,2.0,Child,10.4625,Mid,Lower,0,1,0,False,False,True,2
Mr,0,32.0,YoungAdult,15.85,High,Lower,1,0,0,False,False,True,2
Mr,0,26.0,YoungAdult,18.7875,High,Lower,0,0,1,True,False,False,1
Miss,1,16.0,Teen,7.75,Low,Lower,0,0,1,False,True,False,1
Mr,0,40.0,Adult,31.0,High,Upper,0,0,1,True,False,False,1
Mr,0,24.0,YoungAdult,7.05,Low,Lower,0,0,0,False,False,True,1
Miss,1,35.0,YoungAdult,21.0,High,Middle,0,0,1,False,False,True,1
Mr,0,22.0,YoungAdult,7.25,Low,Lower,0,0,0,False,False,True,1
Mr,0,30.0,YoungAdult,13.0,Mid,Middle,0,0,0,False,False,True,1
Mr,0,28.0,YoungAdult,7.75,Low,Lower,1,0,0,False,True,False,2
Miss,1,31.0,YoungAdult,113.275,Very High,Upper,1,0,1,True,False,False,2
Miss,1,27.0,YoungAdult,7.925,Mid,Lower,0,0,1,False,False,True,1
Mr,0,42.0,Adult,27.0,High,Middle,1,0,0,False,False,True,2
Miss,1,32.0,YoungAdult,76.2917,Very High,Upper,0,0,1,True,False,False,1
Mr,0,30.0,YoungAdult,10.5,Mid,Middle,0,0,0,False,False,True,1
Mr,0,16.0,Teen,8.05,Mid,Lower,0,0,1,False,False,True,1
Mr,0,27.0,YoungAdult,13.0,Mid,Middle,0,0,0,False,False,True,1
Mr,0,51.0,Adult,8.05,Mid,Lower,0,0,0,False,False,True,1
Mr,0,28.0,YoungAdult,7.8958,Low,Lower,0,0,0,False,False,True,1
Mr,0,38.0,Adult,90.0,Very High,Upper,1,0,1,False,False,True,2
Mr,0,22.0,YoungAdult,9.35,Mid,Lower,0,0,0,False,False,True,1
Mr,0,19.0,YoungAdult,10.5,Mid,Middle,0,0,1,False,False,True,1
Mr,0,20.5,YoungAdult,7.25,Low,Lower,0,0,0,False,False,True,1
Mr,0,18.0,Teen,13.0,Mid,Middle,0,0,0,False,False,True,1
Miss,1,28.0,YoungAdult,25.4667,High,Lower,3,1,0,False,False,True,5
Mrs,1,35.0,YoungAdult,83.475,Very High,Upper,1,0,1,False,False,True,2
Mr,0,29.0,YoungAdult,7.775,Low,Lower,0,0,0,False,False,True,1
Mr,0,59.0,Adult,13.5,Mid,Middle,0,0,0,False,False,True,1
Miss,1,5.0,Child,31.3875,Very High,Lower,4,2,1,False,False,True,7
Mr,0,24.0,YoungAdult,10.5,Mid,Middle,0,0,0,False,False,True,1
Miss,1,28.0,YoungAdult,7.55,Low,Lower,0,0,0,False,False,True,1
Mr,0,44.0,Adult,26.0,High,Middle,1,0,0,False,False,True,2
Miss,1,8.0,Child,26.25,High,Middle,0,2,1,False,False,True,3
Mr,0,19.0,YoungAdult,10.5,Mid,Middle,0,0,0,False,False,True,1
Mr,0,33.0,YoungAdult,12.275,Mid,Middle,0,0,0,False,False,True,1
Miss,1,28.0,YoungAdult,14.4542,Mid,Lower,1,0,0,True,False,False,2
Miss,1,28.0,YoungAdult,15.5,High,Lower,1,0,1,False,True,False,2
Mr,0,29.0,YoungAdult,10.5,Mid,Middle,0,0,0,False,False,True,1
Mr,0,22.0,YoungAdult,7.125,Low,Lower,0,0,0,False,False,True,1
Mr,0,30.0,YoungAdult,7.225,Low,Lower,0,0,0,True,False,False,1
Rare,0,44.0,Adult,90.0,Very High,Upper,2,0,0,False,True,False,3
Miss,1,25.0,YoungAdult,7.775,Low,Lower,0,0,0,False,False,True,1
Mrs,1,24.0,YoungAdult,14.5,High,Middle,0,2,1,False,False,True,3
Mr,0,37.0,Adult,52.5542,Very High,Upper,1,1,1,False,False,True,3
Rare,0,54.0,Adult,26.0,High,Middle,1,0,0,False,False,True,2
Mr,0,28.0,YoungAdult,7.25,Low,Lower,0,0,0,False,False,True,1
Mrs,1,29.0,YoungAdult,10.4625,Mid,Lower,1,1,0,False,False,True,3
Mr,0,62.0,Senior,26.55,High,Upper,0,0,0,False,False,True,1
Mr,0,30.0,YoungAdult,16.1,High,Lower,1,0,0,False,False,True,2
Mrs,1,41.0,Adult,20.2125,High,Lower,0,2,0,False,False,True,3
Mrs,1,29.0,YoungAdult,15.2458,High,Lower,0,2,1,True,False,False,3
Mrs,1,28.0,YoungAdult,79.2,Very High,Upper,0,0,1,True,False,False,1
Miss,1,30.0,YoungAdult,86.5,Very High,Upper,0,0,1,False,False,True,1
Miss,1,35.0,YoungAdult,512.3292,Very High,Upper,0,0,1,True,False,False,1
Mrs,1,50.0,Adult,26.0,High,Middle,0,1,1,False,False,True,2
Mr,0,28.0,YoungAdult,7.75,Low,Lower,0,0,0,False,True,False,1
Master,0,3.0,Child,31.3875,Very High,Lower,4,2,1,False,False,True,7
Mr,0,52.0,Adult,79.65,Very High,Upper,1,1,0,False,False,True,3
Mr,0,40.0,Adult,0.0,Low,Upper,0,0,0,False,False,True,1
Miss,1,28.0,YoungAdult,7.75,Low,Lower,0,0,0,False,True,False,1
Mr,0,36.0,Adult,10.5,Mid,Middle,0,0,0,False,False,True,1
Mr,0,16.0,Teen,39.6875,Very High,Lower,4,1,0,False,False,True,6
Mr,0,25.0,YoungAdult,7.775,Low,Lower,1,0,1,False,False,True,2
Mrs,1,58.0,Adult,153.4625,Very High,Upper,0,1,1,False,False,True,2
Miss,1,35.0,YoungAdult,135.6333,Very High,Upper,0,0,1,False,False,True,1
Mr,0,28.0,YoungAdult,31.0,High,Upper,0,0,0,False,False,True,1
Mr,0,25.0,YoungAdult,0.0,Low,Lower,0,0,1,False,False,True,1
Mrs,1,41.0,Adult,19.5,High,Middle,0,1,1,False,False,True,2
Mr,0,37.0,Adult,29.7,High,Upper,0,1,0,True,False,False,2
Miss,1,28.0,YoungAdult,7.75,Low,Lower,0,0,1,False,True,False,1
Miss,1,63.0,Senior,77.9583,Very High,Upper,1,0,1,False,False,True,2
Miss,1,45.0,Adult,7.75,Low,Lower,0,0,0,False,False,True,1
Mr,0,28.0,YoungAdult,0.0,Low,Middle,0,0,0,False,False,True,1
Master,0,7.0,Child,29.125,High,Lower,4,1,0,False,True,False,6
Mrs,1,35.0,YoungAdult,20.25,High,Lower,1,1,1,False,False,True,3
Mr,0,65.0,Senior,7.75,Low,Lower,0,0,0,False,True,False,1
Mr,0,28.0,YoungAdult,7.8542,Low,Lower,0,0,0,False,False,True,1
Mr,0,16.0,Teen,9.5,Mid,Lower,0,0,0,False,False,True,1
Mr,0,19.0,YoungAdult,8.05,Mid,Lower,0,0,1,False,False,True,1
Mr,0,28.0,YoungAdult,26.0,High,Upper,0,0,0,False,False,True,1
Mr,0,33.0,YoungAdult,8.6625,Mid,Lower,0,0,0,True,False,False,1
Mr,0,30.0,YoungAdult,9.5,Mid,Lower,0,0,1,False,False,True,1
Mr,0,22.0,YoungAdult,7.8958,Low,Lower,0,0,0,False,False,True,1
Mr,0,42.0,Adult,13.0,Mid,Middle,0,0,1,False,False,True,1
Miss,1,22.0,YoungAdult,7.75,Low,Lower,0,0,1,False,True,False,1
Miss,1,26.0,YoungAdult,78.85,Very High,Upper,0,0,1,False,False,True,1
Mrs,1,19.0,YoungAdult,91.0792,Very High,Upper,1,0,1,True,False,False,2
Mr,0,36.0,Adult,12.875,Mid,Middle,0,0,0,True,False,False,1
Miss,1,24.0,YoungAdult,8.85,Mid,Lower,0,0,0,False,False,True,1
Mr,0,24.0,YoungAdult,7.8958,Low,Lower,0,0,0,False,False,True,1
Mr,0,28.0,YoungAdult,27.7208,High,Upper,0,0,0,True,False,False,1
Mr,0,23.5,YoungAdult,7.2292,Low,Lower,0,0,0,True,False,False,1
Miss,1,2.0,Child,151.55,Very High,Upper,1,2,0,False,False,True,4
Mr,0,28.0,YoungAdult,30.5,High,Upper,0,0,1,False,False,True,1
Mrs,1,50.0,Adult,247.5208,Very High,Upper,0,1,1,True,False,False,2
Miss,1,28.0,YoungAdult,7.75,Low,Lower,0,0,1,False,True,False,1
Mr,0,28.0,YoungAdult,23.25,High,Lower,2,0,1,False,True,False,3
Mr,0,19.0,YoungAdult,0.0,Low,Lower,0,0,0,False,False,True,1
Miss,1,28.0,YoungAdult,12.35,Mid,Middle,0,0,1,False,True,False,1
Mr,0,28.0,YoungAdult,8.05,Mid,Lower,0,0,0,False,False,True,1
Master,0,0.92,Child,151.55,Very High,Upper,1,2,1,False,False,True,4
Miss,1,28.0,YoungAdult,110.8833,Very High,Upper,0,0,1,True,False,False,1
Mrs,1,17.0,Teen,108.9,Very High,Upper,1,0,1,True,False,False,2
Mr,0,30.0,YoungAdult,24.0,High,Middle,1,0,0,True,False,False,2
Miss,1,30.0,YoungAdult,56.9292,Very High,Upper,0,0,1,True,False,False,1
Miss,1,24.0,YoungAdult,83.1583,Very High,Upper,0,0,1,True,False,False,1
Miss,1,18.0,Teen,262.375,Very High,Upper,2,2,1,True,False,False,5
Mrs,1,26.0,YoungAdult,26.0,High,Middle,1,1,0,False,False,True,3
Mr,0,28.0,YoungAdult,7.8958,Low,Lower,0,0,0,False,False,True,1
Mr,0,43.0,Adult,26.25,High,Middle,1,1,0,False,False,True,3
Miss,1,26.0,YoungAdult,7.8542,Low,Lower,0,0,1,False,False,True,1
Mrs,1,24.0,YoungAdult,26.0,High,Middle,1,0,1,False,False,True,2
Rare,0,54.0,Adult,14.0,Mid,Middle,0,0,0,False,False,True,1
Miss,1,31.0,YoungAdult,164.8667,Very High,Upper,0,2,1,False,False,True,3
Mrs,1,40.0,Adult,134.5,Very High,Upper,1,1,1,True,False,False,3
Mr,0,22.0,YoungAdult,7.25,Low,Lower,0,0,0,False,False,True,1
Mr,0,27.0,YoungAdult,7.8958,Low,Lower,0,0,0,False,False,True,1
Miss,1,30.0,YoungAdult,12.35,Mid,Middle,0,0,1,False,True,False,1
Mrs,1,22.0,YoungAdult,29.0,High,Middle,1,1,1,False,False,True,3
Mr,0,28.0,YoungAdult,69.55,Very High,Lower,8,2,0,False,False,True,11
Miss,1,36.0,Adult,135.6333,Very High,Upper,0,0,1,True,False,False,1
Mr,0,61.0,Senior,6.2375,Low,Lower,0,0,0,False,False,True,1
Mrs,1,36.0,Adult,13.0,Mid,Middle,0,0,1,False,False,True,1
Mrs,1,31.0,YoungAdult,20.525,High,Lower,1,1,1,False,False,True,3
Miss,1,16.0,Teen,57.9792,Very High,Upper,0,1,1,True,False,False,2
Miss,1,28.0,YoungAdult,23.25,High,Lower,2,0,1,False,True,False,3
Mr,0,45.5,Adult,28.5,High,Upper,0,0,0,False,False,True,1
Mr,0,38.0,Adult,153.4625,Very High,Upper,0,1,0,False,False,True,2
Mr,0,16.0,Teen,18.0,High,Lower,2,0,0,False,False,True,3
Mrs,1,28.0,YoungAdult,133.65,Very High,Upper,1,0,1,False,False,True,2
